,list of ids,ticket info,recommended_owner,recommended owner
0,"['F017', 'F034', 'F039', 'F049', 'F011', 'F030']",Inaccurate Service Centre Geolocation,backend,
1,"['F033', 'F041']",Chatbot Assistance and Escalation Issues,product,
2,"['F044', 'F047']",UI/UX Clarity and Terminology Feedback,product,
3,"['F014', 'F035']","Session timeout during form submission causing data loss : Users are experiencing forced logouts while actively filling out forms, resulting in the total loss of entered progress. This is currently tracked specifically in support ticket F014.",,backend
4,"['F001', 'F021', 'F036']","OTP Delivery Failure During Login : Users are unable to access their accounts because the OTP code is not being delivered during the login authentication flow, causing the screen to hang indefinitely.",,authentication
5,"['F008', 'F023', 'F042', 'F031']","Document Upload Failure and Status Sync Issues : Users are encountering persistent failures during the document upload process and observing incorrect status reflections (e.g., 'pending') after successful attempts, alongside a lack of clear error messaging for failed uploads.",,backend
6,"['F002', 'F005', 'F022', 'F025', 'F038', 'F018']","Payment confirmation latency and sync failure : Users are experiencing a synchronization failure between the payment gateway and the application state. Despite bank charges being processed, the app UI continues to display 'failed' or 'unpaid' status, and booking/appointment confirmations are failing to reflect in the user's dashboard.",,backend
7,"['F015', 'F029']","Reward voucher redemption failure and synchronization error : Users are experiencing issues where reward vouchers disappear or are incorrectly marked as 'already redeemed' immediately upon clicking the redeem button, preventing them from successfully claiming their rewards.",,backend
8,"['F010', 'F032']","Duplicate billing charges during subscription renewal : Users are experiencing duplicate charges for a single subscription renewal cycle, resulting in multiple billing events for one billing period.",,payments
9,"['F009', 'F028']","Notification preferences failing to persist : Users are unable to successfully update and save their notification settings. Specifically, when users attempt to disable marketing alerts, the preference does not save or persists only visually, resulting in users continuing to receive unwanted promotional notifications.",,backend
10,['F003'],App crash on profile page access,,frontend
11,['F004'],Password reset link expiration issue,,authentication
12,['F006'],Chatbot providing irrelevant responses regarding refund status,,customer_support
13,['F007'],App performance degradation when loading account history,,frontend
14,['F012'],Face verification failure: User reports repeated failure of facial recognition despite functioning hardware.,,authentication
15,['F013'],UI Interaction issue: Save button is greyed out/disabled when attempting to update phone number profile settings.,,frontend
16,['F016'],Dashboard service availability error: Persistent 'service unavailable' error message upon accessing the main dashboard.,,backend
17,['F019'],Email verification loop: System repeatedly prompts users for email verification despite successful completion.,,authentication
18,['F020'],Live chat state persistence: Application fails to maintain session state for the live chat queue when switching app focus.,,frontend
19,['F024'],App crash in messages tab: Persistent application crash when accessing the messages functionality.,,frontend
20,['F026'],Refund status delay: User reports lack of progress or updates on refund request despite time elapsed.,,customer_support
21,['F027'],User unable to edit submitted service category request and seeking guidance on cancellation/resubmission process.,,customer_support
22,['F045'],User feedback requesting better progress tracking visibility for submitted requests within the application UI.,,product
23,['F046'],Application crash occurring specifically during profile editing. This is a stability/crash report distinct from existing tickets.,,frontend
24,['F050'],Request for automatic draft saving feature for long forms to prevent data loss or progress reset.,,frontend
