list of ids,ticket info,recommended owner
"['F011', 'F030', 'F017', 'F034', 'F039', 'F049']",Geolocation and Mapping Accuracy Issues,product
"['F005', 'F025', 'F018', 'F002', 'F022', 'F038', 'F008', 'F023', 'F031', 'F042', 'F012', 'F019']",Data Synchronization and State Persistence Failures,backend
"['F033', 'F041']",Chatbot Service Malfunctions,customer_support
"['F015', 'F029']",Voucher redemption failure and state inconsistency : Users are unable to successfully redeem vouchers due to the app incorrectly marking them as 'already used' or experiencing state loss (disappearance) immediately after attempting to click the redeem button.,backend
"['F001', 'F036', 'F021']","OTP Delivery Failure During Authentication : Users are unable to complete the login process because the OTP code generation/delivery system is failing, resulting in infinite loading screens or inconsistent SMS delivery.",authentication
"['F014', 'F035', 'F050']","Loss of form data due to session timeout : Users are losing all progress on long-form submissions when the application session expires or logs the user out unexpectedly, as there is currently no auto-save or draft functionality in place.",frontend
"['F010', 'F032']","Duplicate subscription renewal charges : Users are being incorrectly charged twice for the same subscription renewal period, resulting in double billing on their payment accounts.",payments
['F003'],App crash on profile page interaction,frontend
['F004'],Password reset link expiration issue,authentication
['F006'],Chatbot providing irrelevant responses regarding refund status,customer_support
['F007'],App performance issue: slow loading of account history,frontend
['F009'],Notification settings persistence failure,notifications
['F013'],UI defect: Save button greyed out preventing phone number update,frontend
['F016'],Dashboard service unavailable error: User receives an error message every time they attempt to open the dashboard.,backend
['F020'],Live chat queue state loss: The live chat queue resets when the user switches away from the application.,frontend
['F024'],"App crash in messages tab: User reports recurring crashes when navigating to the messages tab, persisting after reinstallation.",frontend
['F026'],Refund request delay and lack of status updates: User report regarding a stale refund case status in the app.,customer_support
['F027'],User unable to edit submitted service requests or change service categories after submission.,product
['F028'],Notification settings failure: User continues to receive promotional messages after opting out.,notifications
['F044'],User interface confusion regarding rewards section and lack of clear redemption rules documentation.,product
['F045'],Request for improved progress tracking visualization for submitted requests.,frontend
['F046'],App instability/crashing during profile editing.,frontend
['F047'],User interface accessibility issues regarding unclear labels.,product
